,height,tss,part,nss,ss
193,5.79,2238.878,2215.961,19.59,3.327
194,5.82,2239.094,2216.182,19.59,3.322
195,5.85,2239.311,2216.404,19.59,3.316
196,5.88,2239.528,2216.627,19.59,3.311
197,5.91,2239.745,2216.85,19.59,3.306
198,5.94,2239.968,2217.078,19.59,3.3
199,5.97,2240.198,2217.314,19.59,3.295
200,6.0,2240.435,2217.556,19.59,3.289
201,6.03,2240.678,2217.804,19.59,3.284
202,6.06,2240.922,2218.053,19.59,3.279
203,6.09,2241.171,2218.308,19.59,3.273
204,6.12,2241.419,2218.561,19.59,3.268
205,6.15,2241.672,2218.819,19.59,3.263
206,6.18,2241.925,2219.078,19.59,3.257
207,6.21,2242.179,2219.337,19.59,3.252
208,6.24,2242.435,2219.599,19.59,3.246
209,6.27,2242.689,2219.858,19.59,3.241
210,6.3,2242.946,2220.121,19.59,3.236
211,6.33,2243.202,2220.382,19.59,3.23
212,6.36,2243.459,2220.644,19.59,3.225
213,6.39,2243.716,2220.906,19.59,3.22
214,6.42,2243.972,2221.168,19.59,3.214
215,6.45,2244.229,2221.43,19.59,3.209
216,6.48,2244.484,2221.69,19.59,3.204
217,6.51,2244.738,2221.949,19.59,3.199
218,6.54,2244.917,2222.134,19.59,3.193
219,6.57,2244.681,2221.903,19.59,3.188
220,6.6,2244.407,2221.635,19.59,3.183
221,6.63,2244.024,2221.256,19.59,3.177
222,6.66,2243.269,2220.508,19.59,3.172
223,6.69,2242.41,2219.653,19.59,3.167
224,6.72,2241.349,2218.598,19.59,3.161
225,6.75,2239.946,2217.2,19.59,3.156
226,6.78,2238.312,2215.572,19.59,3.151
227,6.81,2236.422,2213.686,19.59,3.146
228,6.84,2233.993,2211.263,19.59,3.14
229,6.87,2231.213,2208.488,19.59,3.135
230,6.9,2227.731,2205.011,19.59,3.13
231,6.93,2223.303,2200.588,19.59,3.125
232,6.96,2217.17,2194.461,19.59,3.119
233,6.99,1889.403,1866.699,19.59,3.114
234,7.02,1844.536,1821.837,19.59,3.109
235,7.05,1826.036,1803.342,19.59,3.104
236,7.08,1811.994,1789.306,19.59,3.098
237,7.11,1800.019,1777.336,19.59,3.093
238,7.14,1789.398,1766.72,19.59,3.088
239,7.17,1779.963,1757.291,19.59,3.083
240,7.2,1771.196,1748.529,19.59,3.078
241,7.23,1763.105,1740.443,19.59,3.072
242,7.26,1755.589,1732.932,19.59,3.067
243,7.29,1748.388,1725.736,19.59,3.062
244,7.32,1741.606,1718.96,19.59,3.057
245,7.35,1735.205,1712.564,19.59,3.052
246,7.38,1729.103,1706.467,19.59,3.046
247,7.41,1723.181,1700.55,19.59,3.041
248,7.44,1717.5,1694.874,19.59,3.036
249,7.47,1712.01,1689.389,19.59,3.031
250,7.5,1706.715,1684.099,19.59,3.026
251,7.53,1701.568,1678.957,19.59,3.021
252,7.56,1696.552,1673.947,19.59,3.015
253,7.59,1685.402,1662.802,19.59,3.01
254,7.62,1676.4,1653.805,19.59,3.005
255,7.65,1668.926,1646.336,19.59,3.0
256,7.68,1662.32,1639.735,19.59,2.995
257,7.71,1656.039,1633.46,19.59,2.99
258,7.74,1650.198,1627.623,19.59,2.985
259,7.77,1644.505,1621.935,19.59,2.98
260,7.8,1639.069,1616.505,19.59,2.974
261,7.83,1633.737,1611.178,19.59,2.969
262,7.86,1628.541,1605.987,19.59,2.964
263,7.89,1623.539,1600.99,19.59,2.959
264,7.92,1618.673,1596.129,19.59,2.954
265,7.95,1613.923,1591.384,19.59,2.949
266,7.98,1609.236,1586.703,19.59,2.944
267,8.01,1604.718,1582.189,19.59,2.939
268,8.04,1600.34,1577.816,19.59,2.934
269,8.07,1596.021,1573.502,19.59,2.929
270,8.1,1591.749,1569.236,19.59,2.924
271,8.13,1587.575,1565.067,19.59,2.919
272,8.16,1583.556,1561.053,19.59,2.913
273,8.19,1579.608,1557.11,19.59,2.908
274,8.22,1575.691,1553.198,19.59,2.903
275,8.25,1571.829,1549.34,19.59,2.898
276,8.28,1568.065,1545.582,19.59,2.893
