height;Total slice surface (mm?);Part (mm?);Non solid support (mm?);Solid support (mm?)
39,780;636,918;636,918;0,000;0,000
39,810;636,000;636,000;0,000;0,000
39,840;635,108;635,108;0,000;0,000
39,870;634,238;634,238;0,000;0,000
39,900;633,392;633,392;0,000;0,000
39,930;632,599;632,599;0,000;0,000
39,960;631,839;631,839;0,000;0,000
39,990;631,102;631,102;0,000;0,000
40,020;630,384;630,384;0,000;0,000
40,050;629,682;629,682;0,000;0,000
40,080;628,992;628,992;0,000;0,000
40,110;628,316;628,316;0,000;0,000
40,140;627,651;627,651;0,000;0,000
40,170;626,995;626,995;0,000;0,000
40,200;626,349;626,349;0,000;0,000
40,230;625,710;625,710;0,000;0,000
40,260;625,080;625,080;0,000;0,000
40,290;624,456;624,456;0,000;0,000
40,320;623,838;623,838;0,000;0,000
40,350;623,228;623,228;0,000;0,000
40,380;622,622;622,622;0,000;0,000
40,410;622,020;622,020;0,000;0,000
40,440;621,424;621,424;0,000;0,000
40,470;620,831;620,831;0,000;0,000
40,500;620,241;620,241;0,000;0,000
40,530;619,655;619,655;0,000;0,000
40,560;619,072;619,072;0,000;0,000
40,590;618,491;618,491;0,000;0,000
40,620;617,912;617,912;0,000;0,000
40,650;617,335;617,335;0,000;0,000
40,680;616,758;616,758;0,000;0,000
40,710;616,184;616,184;0,000;0,000
40,740;615,610;615,610;0,000;0,000
40,770;615,036;615,036;0,000;0,000
40,800;614,462;614,462;0,000;0,000
40,830;613,888;613,888;0,000;0,000
40,860;613,313;613,313;0,000;0,000
40,890;612,736;612,736;0,000;0,000
40,920;612,158;612,158;0,000;0,000
40,950;611,579;611,579;0,000;0,000
40,980;610,997;610,997;0,000;0,000
41,010;610,413;610,413;0,000;0,000
41,040;609,826;609,826;0,000;0,000
41,070;609,236;609,236;0,000;0,000
41,100;608,642;608,642;0,000;0,000
41,130;608,044;608,044;0,000;0,000
41,160;607,441;607,441;0,000;0,000
41,190;606,832;606,832;0,000;0,000
41,220;606,218;606,218;0,000;0,000
41,250;605,599;605,599;0,000;0,000
41,280;604,973;604,973;0,000;0,000
41,310;604,338;604,338;0,000;0,000
41,340;603,697;603,697;0,000;0,000
41,370;603,046;603,046;0,000;0,000
41,400;602,384;602,384;0,000;0,000
41,430;601,712;601,712;0,000;0,000
41,460;601,026;601,026;0,000;0,000
41,490;600,326;600,326;0,000;0,000
41,520;599,609;599,609;0,000;0,000
41,550;598,868;598,868;0,000;0,000
41,580;598,087;598,087;0,000;0,000
41,610;597,292;597,292;0,000;0,000
41,640;596,494;596,494;0,000;0,000
41,670;595,690;595,690;0,000;0,000
41,700;594,883;594,883;0,000;0,000
41,730;594,071;594,071;0,000;0,000
41,760;593,253;593,253;0,000;0,000
41,790;592,429;592,429;0,000;0,000
41,820;591,598;591,598;0,000;0,000
41,850;590,759;590,759;0,000;0,000
41,880;589,908;589,908;0,000;0,000
41,910;589,039;589,039;0,000;0,000
41,940;588,156;588,156;0,000;0,000
41,970;587,273;587,273;0,000;0,000
42,000;586,390;586,390;0,000;0,000
42,030;585,507;585,507;0,000;0,000
42,060;584,624;584,624;0,000;0,000
42,090;583,740;583,740;0,000;0,000
42,120;582,859;582,859;0,000;0,000
42,150;581,975;581,975;0,000;0,000
42,180;581,091;581,091;0,000;0,000
42,210;580,210;580,210;0,000;0,000
42,240;579,326;579,326;0,000;0,000
42,270;578,443;578,443;0,000;0,000
42,300;577,560;577,560;0,000;0,000
42,330;576,678;576,678;0,000;0,000
42,360;575,794;575,794;0,000;0,000
42,390;574,912;574,912;0,000;0,000
42,420;574,028;574,028;0,000;0,000
42,450;573,145;573,145;0,000;0,000
42,480;572,262;572,262;0,000;0,000
42,510;571,379;571,379;0,000;0,000
42,540;570,496;570,496;0,000;0,000
42,570;569,614;569,614;0,000;0,000
42,600;568,731;568,731;0,000;0,000
42,630;567,848;567,848;0,000;0,000
42,660;566,965;566,965;0,000;0,000
42,690;566,081;566,081;0,000;0,000
42,720;565,199;565,199;0,000;0,000
42,750;564,316;564,316;0,000;0,000
42,780;563,433;563,433;0,000;0,000
42,810;562,549;562,549;0,000;0,000
42,840;561,667;561,667;0,000;0,000
42,870;560,784;560,784;0,000;0,000
42,900;559,901;559,901;0,000;0,000
42,930;559,018;559,018;0,000;0,000
42,960;558,135;558,135;0,000;0,000
42,990;557,252;557,252;0,000;0,000
43,020;556,369;556,369;0,000;0,000
43,050;555,486;555,486;0,000;0,000
43,080;554,603;554,603;0,000;0,000
43,110;553,720;553,720;0,000;0,000
43,140;552,837;552,837;0,000;0,000
43,170;551,954;551,954;0,000;0,000
43,200;551,071;551,071;0,000;0,000
43,230;550,188;550,188;0,000;0,000
43,260;549,305;549,305;0,000;0,000
43,290;548,423;548,423;0,000;0,000
43,320;547,541;547,541;0,000;0,000
43,350;546,656;546,656;0,000;0,000
43,380;545,773;545,773;0,000;0,000
43,410;544,890;544,890;0,000;0,000
43,440;544,008;544,008;0,000;0,000
43,470;543,124;543,124;0,000;0,000
43,500;542,241;542,241;0,000;0,000
43,530;541,358;541,358;0,000;0,000
43,560;540,475;540,475;0,000;0,000
43,590;539,593;539,593;0,000;0,000
43,620;538,710;538,710;0,000;0,000
43,650;537,827;537,827;0,000;0,000
43,680;536,944;536,944;0,000;0,000
43,710;536,062;536,062;0,000;0,000
43,740;535,178;535,178;0,000;0,000
43,770;534,295;534,295;0,000;0,000
43,800;533,412;533,412;0,000;0,000
43,830;532,530;532,530;0,000;0,000
43,860;531,647;531,647;0,000;0,000
43,890;530,764;530,764;0,000;0,000
43,920;529,883;529,883;0,000;0,000
43,950;529,000;529,000;0,000;0,000
43,980;528,118;528,118;0,000;0,000
44,010;527,236;527,236;0,000;0,000
44,040;526,354;526,354;0,000;0,000
44,070;525,471;525,471;0,000;0,000
44,100;524,590;524,590;0,000;0,000
44,130;523,709;523,709;0,000;0,000
44,160;522,826;522,826;0,000;0,000
44,190;521,944;521,944;0,000;0,000
44,220;521,064;521,064;0,000;0,000
44,250;520,182;520,182;0,000;0,000
44,280;519,299;519,299;0,000;0,000
44,310;518,419;518,419;0,000;0,000
44,340;517,536;517,536;0,000;0,000
44,370;516,654;516,654;0,000;0,000
44,400;515,773;515,773;0,000;0,000
44,430;514,890;514,890;0,000;0,000
44,460;514,008;514,008;0,000;0,000
44,490;513,124;513,124;0,000;0,000
44,520;512,242;512,242;0,000;0,000
44,550;511,359;511,359;0,000;0,000
44,580;510,476;510,476;0,000;0,000
44,610;509,594;509,594;0,000;0,000
44,640;508,710;508,710;0,000;0,000
44,670;507,825;507,825;0,000;0,000
44,700;506,940;506,940;0,000;0,000
44,730;506,056;506,056;0,000;0,000
44,760;505,171;505,171;0,000;0,000
44,790;504,285;504,285;0,000;0,000
44,820;503,400;503,400;0,000;0,000
44,850;502,513;502,513;0,000;0,000
44,880;501,626;501,626;0,000;0,000
44,910;500,740;500,740;0,000;0,000
44,940;499,851;499,851;0,000;0,000
44,970;498,962;498,962;0,000;0,000
45,000;0,000;0,000;0,000;0,000
