height;Total slice surface (mm?);Part (mm?);Non solid support (mm?);Solid support (mm?)
20,040;1251,711;1251,520;0,191;0,000
20,070;1252,220;1252,057;0,163;0,000
20,100;1252,732;1252,586;0,146;0,000
20,130;1253,238;1253,110;0,128;0,000
20,160;1253,743;1253,628;0,115;0,000
20,190;1254,247;1254,144;0,103;0,000
20,220;1254,738;1254,655;0,083;0,000
20,250;1255,225;1255,162;0,064;0,000
20,280;1255,720;1255,665;0,055;0,000
20,310;1256,215;1256,168;0,048;0,000
20,340;1256,698;1256,665;0,033;0,000
20,370;1257,184;1257,158;0,026;0,000
20,400;1257,662;1257,648;0,013;0,000
20,430;1258,141;1258,139;0,002;0,000
20,460;1258,626;1258,626;0,000;0,000
20,490;1259,113;1259,113;0,000;0,000
20,520;1259,596;1259,596;0,000;0,000
20,550;1260,079;1260,079;0,000;0,000
20,580;1260,563;1260,563;0,000;0,000
20,610;1261,041;1261,041;0,000;0,000
20,640;1261,520;1261,520;0,000;0,000
20,670;1261,999;1261,999;0,000;0,000
20,700;1262,430;1262,430;0,000;0,000
20,730;1262,788;1262,788;0,000;0,000
20,760;1263,105;1263,105;0,000;0,000
20,790;1263,383;1263,383;0,000;0,000
20,820;1263,640;1263,640;0,000;0,000
20,850;1263,868;1263,868;0,000;0,000
20,880;1264,074;1264,074;0,000;0,000
20,910;1264,259;1264,259;0,000;0,000
20,940;1264,426;1264,426;0,000;0,000
20,970;1264,576;1264,576;0,000;0,000
21,000;1264,708;1264,708;0,000;0,000
21,030;1264,826;1264,826;0,000;0,000
21,060;1264,927;1264,927;0,000;0,000
21,090;1265,020;1265,020;0,000;0,000
21,120;1265,096;1265,096;0,000;0,000
21,150;1265,161;1265,161;0,000;0,000
21,180;1265,213;1265,213;0,000;0,000
21,210;1265,258;1265,258;0,000;0,000
21,240;1265,287;1265,287;0,000;0,000
21,270;1265,310;1265,310;0,000;0,000
21,300;1265,322;1265,322;0,000;0,000
21,330;1265,325;1265,325;0,000;0,000
21,360;1265,320;1265,320;0,000;0,000
21,390;1265,308;1265,308;0,000;0,000
21,420;1265,286;1265,286;0,000;0,000
21,450;1265,258;1265,258;0,000;0,000
21,480;1265,221;1265,221;0,000;0,000
21,510;1265,177;1265,177;0,000;0,000
21,540;1265,128;1265,128;0,000;0,000
21,570;1265,071;1265,071;0,000;0,000
21,600;1265,009;1265,009;0,000;0,000
21,630;1264,940;1264,940;0,000;0,000
21,660;1264,867;1264,867;0,000;0,000
21,690;1264,786;1264,786;0,000;0,000
21,720;1264,702;1264,702;0,000;0,000
21,750;1264,613;1264,613;0,000;0,000
21,780;1264,543;1264,543;0,000;0,000
21,810;1264,536;1264,536;0,000;0,000
21,840;1264,566;1264,566;0,000;0,000
21,870;1264,625;1264,625;0,000;0,000
21,900;1264,702;1264,702;0,000;0,000
21,930;1264,802;1264,802;0,000;0,000
21,960;1264,918;1264,918;0,000;0,000
21,990;1265,052;1265,052;0,000;0,000
22,020;1265,201;1265,201;0,000;0,000
22,050;1265,367;1265,367;0,000;0,000
22,080;1265,549;1265,549;0,000;0,000
22,110;1265,745;1265,745;0,000;0,000
22,140;1265,958;1265,958;0,000;0,000
22,170;1266,202;1266,202;0,000;0,000
22,200;1266,463;1266,463;0,000;0,000
22,230;1266,735;1266,735;0,000;0,000
22,260;1267,011;1267,011;0,000;0,000
22,290;1267,293;1267,293;0,000;0,000
22,320;1267,582;1267,582;0,000;0,000
22,350;1267,873;1267,873;0,000;0,000
22,380;1268,170;1268,170;0,000;0,000
22,410;1268,471;1268,471;0,000;0,000
22,440;1268,777;1268,777;0,000;0,000
22,470;1269,107;1269,107;0,000;0,000
22,500;1269,460;1269,460;0,000;0,000
22,530;1269,824;1269,824;0,000;0,000
22,560;1270,202;1270,202;0,000;0,000
22,590;1270,588;1270,588;0,000;0,000
22,620;1270,984;1270,984;0,000;0,000
22,650;1271,390;1271,390;0,000;0,000
22,680;1271,803;1271,803;0,000;0,000
22,710;1272,220;1272,220;0,000;0,000
22,740;1272,649;1272,649;0,000;0,000
22,770;1273,082;1273,082;0,000;0,000
22,800;1273,520;1273,520;0,000;0,000
22,830;1273,966;1273,966;0,000;0,000
22,860;1274,415;1274,415;0,000;0,000
22,890;1274,873;1274,873;0,000;0,000
22,920;1275,333;1275,333;0,000;0,000
22,950;1275,798;1275,798;0,000;0,000
22,980;1276,269;1276,269;0,000;0,000
23,010;1276,744;1276,744;0,000;0,000
23,040;1277,222;1277,222;0,000;0,000
23,070;1277,705;1277,705;0,000;0,000
23,100;1278,191;1278,191;0,000;0,000
23,130;1278,684;1278,684;0,000;0,000
23,160;1279,177;1279,177;0,000;0,000
23,190;1279,675;1279,675;0,000;0,000
23,220;1280,178;1280,178;0,000;0,000
23,250;1280,679;1280,679;0,000;0,000
23,280;1281,187;1281,187;0,000;0,000
23,310;1281,695;1281,695;0,000;0,000
23,340;1282,206;1282,206;0,000;0,000
23,370;1282,721;1282,721;0,000;0,000
23,400;1283,239;1283,239;0,000;0,000
23,430;1283,755;1283,755;0,000;0,000
23,460;1284,275;1284,275;0,000;0,000
23,490;1284,796;1284,796;0,000;0,000
23,520;1285,319;1285,319;0,000;0,000
23,550;1285,842;1285,842;0,000;0,000
23,580;1286,368;1286,368;0,000;0,000
23,610;1286,894;1286,894;0,000;0,000
23,640;1287,422;1287,422;0,000;0,000
23,670;1287,953;1287,953;0,000;0,000
23,700;1288,481;1288,481;0,000;0,000
23,730;1289,013;1289,013;0,000;0,000
23,760;1289,545;1289,545;0,000;0,000
23,790;1290,078;1290,078;0,000;0,000
23,820;1290,610;1290,610;0,000;0,000
23,850;1291,146;1291,146;0,000;0,000
23,880;1291,678;1291,678;0,000;0,000
23,910;1292,213;1292,213;0,000;0,000
23,940;1292,746;1292,746;0,000;0,000
23,970;1293,279;1293,279;0,000;0,000
24,000;1293,813;1293,813;0,000;0,000
24,030;1294,346;1294,346;0,000;0,000
24,060;1294,877;1294,877;0,000;0,000
24,090;1295,410;1295,410;0,000;0,000
24,120;1295,939;1295,939;0,000;0,000
24,150;1296,467;1296,467;0,000;0,000
24,180;1296,995;1296,995;0,000;0,000
24,210;1297,521;1297,521;0,000;0,000
24,240;1298,047;1298,047;0,000;0,000
24,270;1298,568;1298,568;0,000;0,000
24,300;1299,090;1299,090;0,000;0,000
24,330;1299,608;1299,608;0,000;0,000
24,360;1300,123;1300,123;0,000;0,000
24,390;1300,636;1300,636;0,000;0,000
24,420;1301,144;1301,144;0,000;0,000
24,450;1301,649;1301,649;0,000;0,000
24,480;1302,151;1302,151;0,000;0,000
24,510;1302,644;1302,644;0,000;0,000
24,540;1303,134;1303,134;0,000;0,000
24,570;1303,616;1303,616;0,000;0,000
24,600;1304,088;1304,088;0,000;0,000
24,630;1304,550;1304,550;0,000;0,000
24,660;1304,988;1304,988;0,000;0,000
24,690;1305,417;1305,417;0,000;0,000
24,720;1305,849;1305,849;0,000;0,000
24,750;1306,279;1306,279;0,000;0,000
24,780;1306,706;1306,706;0,000;0,000
24,810;1307,135;1307,135;0,000;0,000
24,840;1307,565;1307,565;0,000;0,000
24,870;1307,994;1307,994;0,000;0,000
24,900;1308,422;1308,422;0,000;0,000
24,930;1308,850;1308,850;0,000;0,000
24,960;1309,276;1309,276;0,000;0,000
24,990;1309,701;1309,701;0,000;0,000
25,020;1310,126;1310,126;0,000;0,000
25,050;1310,547;1310,547;0,000;0,000
25,080;1310,966;1310,966;0,000;0,000
25,110;1311,385;1311,385;0,000;0,000
25,140;1311,796;1311,796;0,000;0,000
25,170;1312,203;1312,203;0,000;0,000
25,200;1312,606;1312,606;0,000;0,000
25,230;1312,996;1312,996;0,000;0,000
25,260;1313,381;1313,381;0,000;0,000
25,290;1313,751;1313,751;0,000;0,000
25,320;1314,100;1314,100;0,000;0,000
25,350;1314,394;1314,394;0,000;0,000
25,380;1314,615;1314,615;0,000;0,000
25,410;1314,679;1314,679;0,000;0,000
25,440;1314,445;1314,445;0,000;0,000
25,470;1314,181;1314,181;0,000;0,000
25,500;1313,914;1313,914;0,000;0,000
25,530;1313,650;1313,650;0,000;0,000
25,560;1313,384;1313,384;0,000;0,000
25,590;1313,122;1313,122;0,000;0,000
25,620;1312,857;1312,857;0,000;0,000
25,650;1312,596;1312,596;0,000;0,000
25,680;1312,332;1312,332;0,000;0,000
25,710;1312,109;1312,109;0,000;0,000
25,740;1311,898;1311,898;0,000;0,000
25,770;1311,687;1311,687;0,000;0,000
25,800;1311,477;1311,477;0,000;0,000
25,830;1311,272;1311,272;0,000;0,000
25,860;1311,067;1311,067;0,000;0,000
25,890;1310,874;1310,874;0,000;0,000
25,920;1310,686;1310,686;0,000;0,000
25,950;1310,512;1310,512;0,000;0,000
25,980;1310,347;1310,347;0,000;0,000
26,010;1310,188;1310,188;0,000;0,000
26,040;1310,036;1310,036;0,000;0,000
26,070;1309,891;1309,891;0,000;0,000
26,100;1309,751;1309,751;0,000;0,000
26,130;1309,614;1309,614;0,000;0,000
26,160;1309,481;1309,481;0,000;0,000
26,190;1309,354;1309,354;0,000;0,000
26,220;1309,233;1309,233;0,000;0,000
26,250;1309,142;1309,142;0,000;0,000
26,280;1309,060;1309,060;0,000;0,000
26,310;1308,978;1308,978;0,000;0,000
26,340;1308,896;1308,896;0,000;0,000
26,370;1308,812;1308,812;0,000;0,000
26,400;1308,727;1308,727;0,000;0,000
26,430;1308,642;1308,642;0,000;0,000
26,460;1308,560;1308,560;0,000;0,000
26,490;1308,516;1308,516;0,000;0,000
26,520;1308,477;1308,477;0,000;0,000
26,550;1308,436;1308,436;0,000;0,000
26,580;1308,390;1308,390;0,000;0,000
26,610;1308,342;1308,342;0,000;0,000
26,640;1308,306;1308,306;0,000;0,000
26,670;1308,295;1308,295;0,000;0,000
26,700;1308,281;1308,281;0,000;0,000
26,730;1308,265;1308,265;0,000;0,000
26,760;1308,247;1308,247;0,000;0,000
26,790;1308,225;1308,225;0,000;0,000
26,820;1308,199;1308,199;0,000;0,000
26,850;1308,174;1308,174;0,000;0,000
26,880;1308,110;1308,110;0,000;0,000
26,910;1307,985;1307,985;0,000;0,000
26,940;1307,815;1307,815;0,000;0,000
26,970;1307,603;1307,603;0,000;0,000
27,000;1307,327;1307,327;0,000;0,000
27,030;1307,002;1307,002;0,000;0,000
27,060;1306,604;1306,604;0,000;0,000
27,090;1306,123;1306,123;0,000;0,000
27,120;1305,591;1305,591;0,000;0,000
27,150;1304,940;1304,940;0,000;0,000
27,180;1304,182;1304,182;0,000;0,000
27,210;1303,355;1303,355;0,000;0,000
